layer,tokens,time_us
embedding,1,4.257
embedding,2,4.51267
embedding,3,4.77867
embedding,4,5.013
embedding,5,5.36533
embedding,6,5.63233
embedding,7,5.878
embedding,8,5.96267
embedding,9,6.496
embedding,10,6.73067
embedding,11,6.997
embedding,12,7.26367
embedding,13,7.595
embedding,14,7.93567
embedding,15,8.11733
embedding,16,8.224
embedding,20,3.65867
embedding,24,3.51
embedding,28,3.71233
embedding,32,3.59467
embedding,36,3.79733
embedding,40,3.65833
embedding,44,3.88233
embedding,48,3.73333
embedding,52,3.97833
embedding,56,3.85033
embedding,60,4.04267
embedding,64,3.90433
embedding,80,4.11733
embedding,96,4.18133
embedding,112,4.23467
embedding,128,4.224
embedding,144,4.555
embedding,160,4.523
embedding,176,4.64033
embedding,192,4.619
embedding,208,4.62867
embedding,224,4.69367
embedding,240,4.74633
embedding,256,4.82133
embedding,272,5.08833
embedding,288,5.099
embedding,304,5.14133
embedding,320,5.14167
embedding,336,5.248
embedding,352,5.23733
embedding,368,5.23667
embedding,384,5.312
embedding,400,5.58933
embedding,416,5.65367
embedding,432,5.64233
embedding,448,5.674
embedding,464,5.69533
embedding,480,5.70667
embedding,496,5.74967
embedding,512,5.84567
embedding,528,5.877
embedding,544,5.96267
embedding,560,6.048
embedding,576,6.08
embedding,592,6.15433
embedding,608,6.13333
embedding,624,6.13367
embedding,640,6.18633
embedding,656,6.20767
embedding,672,6.23967
embedding,688,6.29333
embedding,704,6.26133
embedding,720,6.304
embedding,736,6.27167
embedding,752,6.315
embedding,768,6.33567
embedding,784,6.34667
embedding,800,6.35733
embedding,816,6.38933
embedding,832,6.45367
embedding,848,6.49567
embedding,864,6.507
embedding,880,6.52767
embedding,896,6.57067
embedding,912,6.65533
embedding,928,6.66667
embedding,944,6.66667
embedding,960,6.66633
embedding,976,6.74033
embedding,992,6.86933
embedding,1008,6.90167
embedding,1024,6.93333
embedding,1040,6.91233
embedding,1056,7.14633
embedding,1072,7.146
embedding,1088,7.147
embedding,1104,7.21067
embedding,1120,7.33867
embedding,1136,7.349
embedding,1152,7.403
embedding,1168,7.50867
embedding,1184,7.75467
embedding,1200,7.70167
embedding,1216,7.69033
embedding,1232,7.67
embedding,1248,7.79767
embedding,1264,7.797
embedding,1280,7.81867
embedding,1296,7.94633
embedding,1312,7.99967
embedding,1328,8.12767
embedding,1344,8.28833
embedding,1360,8.619
embedding,1376,8.576
embedding,1392,8.62933
embedding,1408,8.97033
embedding,1424,8.78967
